date,Amplitude
234.361877,
234.4119,
234.462952,
234.5126,
234.561569,
234.612457,
234.661179,
234.711044,
234.760818,
234.810059,
234.859711,79.5192642
234.911865,87.70559
234.961685,91.05715
235.010162,
235.060684,
235.109863,
235.160461,
235.210022,
235.259888,
235.308563,
235.35759,
235.4067,
235.455887,
235.505463,
235.556641,
235.606079,
235.6554,
235.705246,
235.754211,
235.803741,
235.852966,
235.901367,
235.950363,
236.001053,72.7846451
236.0507,72.64074
236.098923,71.8877945
236.148727,70.79187
236.198318,70.3595657
236.249954,71.12338
236.30098,69.92059
236.352386,68.0398254
236.401215,68.8319855
236.452026,69.71146
236.501465,70.27752
236.551056,69.2172241
236.600876,68.03896
236.650986,67.2329941
236.699692,66.84589
236.749283,67.9241638
236.8017,68.4344559
236.854538,71.30377
236.904312,
236.95369,26.7942486
237.003387,
237.0558,32.0866356
237.107391,43.9336624
237.160355,47.46549
237.213257,
237.2675,24.2374344
237.320084,
237.371414,
237.420441,
237.470322,
237.519424,
237.568481,23.4881859
237.618027,28.0269566
237.666672,30.9460526
237.7149,30.9882317
237.764557,32.0558624
237.814117,32.03981
237.864761,32.181282
237.914825,30.442728
237.966232,28.9596252
238.015488,27.87204
238.064331,
238.113876,25.0301723
238.163849,
238.213348,
238.262741,
238.313217,
238.363342,
238.413177,
238.463715,
238.516846,
238.565613,
238.615326,
238.665085,
238.715851,
238.7645,
238.815186,
238.865,
238.91452,
238.9644,
239.014832,
239.068848,
239.117752,
239.167,
239.22197,
239.272369,
239.325256,
239.379837,
239.433823,
239.485825,
239.540756,
239.590775,
239.641357,
239.692459,
239.742462,
239.791916,
239.8432,
239.893829,
239.946442,
239.996979,
240.047623,
240.096191,
240.1466,
240.195633,
240.246841,
240.295853,
240.344681,
240.393127,
240.447372,
240.496811,
240.546219,
240.596527,
240.645874,
240.696472,
240.747543,
240.798019,
240.847809,
240.8972,
240.946533,
240.995544,
241.0479,
241.097015,
241.146225,36.9127274
241.195724,32.0245743
241.245483,
241.294449,24.4003162
241.3457,
241.396683,
241.446854,
241.497452,
241.547638,
241.597214,
241.6463,
241.699982,
241.7513,
241.800491,
241.851074,
241.900742,
241.949692,
242.000763,
242.051178,
242.101242,
242.151611,
242.202011,
242.252838,
242.301514,
242.351074,
242.402359,
242.452225,
242.506332,
242.555191,
242.603683,
242.654114,
242.707611,
242.757111,
242.80629,
242.858246,
242.908081,
242.957443,
243.006836,
243.0552,
243.104843,
243.156982,
243.20668,
243.255142,
243.303238,
243.353256,
243.402847,
243.452316,
243.502121,
243.5513,
243.600632,
243.6504,
243.700256,
243.752167,
243.801788,
243.850861,
243.901245,
243.950882,
244.0023,
244.052109,
244.10199,
244.151764,
244.200317,
244.252075,
244.30127,
244.350739,
244.400772,
244.450882,
244.5026,
244.553009,
244.602875,
244.652237,
244.701385,
244.754349,
244.803314,
244.852036,
244.90126,
244.94989,
244.999176,
245.050034,
245.101471,
245.150284,
245.2008,
245.250641,
245.301147,
245.350479,
245.40126,
245.451111,
245.5038,
245.5539,
245.603378,
245.652817,
245.702438,
245.75618,
245.806137,
245.855255,
245.9045,
245.95343,
246.005508,
246.05545,
246.105713,
246.155319,
246.207,
246.2572,
246.306213,
246.357269,
246.4084,
246.458328,
246.506851,
246.5555,
246.604034,
246.652908,
246.702179,
246.755325,
246.810425,
246.860764,
246.911835,
246.962723,
247.012909,
247.0645,
247.1146,
247.165237,
247.2164,
247.268,
247.31839,
247.3685,
247.41835,
247.467957,
247.518051,
247.567642,
247.616714,
247.665115,
247.7153,
247.768936,
247.820343,
247.8712,
247.920654,
247.972626,
248.025421,
248.0752,
248.124542,
248.174652,
248.22374,
248.27298,
248.3236,
248.373886,
248.422928,
248.47258,
248.522339,
248.57399,
248.62471,
248.6745,
248.724411,
248.7735,
248.8228,
248.87207,
248.922119,
248.972458,
249.024155,
249.07428,
249.124863,
249.175125,
249.225266,
249.2754,
249.3258,
249.3776,
249.427185,
249.476791,
249.526459,
249.5764,
249.628754,
249.680466,
249.729111,
249.778442,
249.827469,
249.879379,
249.928452,
249.97847,
250.028442,
250.077347,
250.127777,
250.176987,
250.226013,
250.275681,
250.325348,
250.378922,
250.429,
250.479324,
250.528458,
250.5771,
250.627228,
250.676224,
250.727158,
250.778931,
250.830475,
250.87973,
250.929123,
250.979218,
251.0283,
251.080338,
251.130127,
251.17923,
251.229126,
251.278336,
251.330475,
251.385681,
251.435257,
251.484222,
251.534073,
251.583954,
251.6359,
251.6862,
251.735,
251.784927,
251.8363,
251.8937,
251.943512,
251.993408,
252.043915,
252.093826,
252.143127,
252.19252,
252.243423,
252.292755,
252.344559,
252.393646,
252.445465,
252.495453,
252.544739,
252.596252,
252.647766,
252.698624,
252.747437,
252.797668,
252.847412,
252.899551,
252.94957,
253.00116,
253.050232,
253.100418,
253.15126,
253.200546,
253.250565,
253.300888,
253.350128,
253.400513,
253.450378,
253.502289,
253.551346,
253.6013,
253.650726,
253.701141,
253.753036,
253.803116,
253.854843,
253.905121,
253.955322,
254.008011,
254.056656,
254.106216,
254.1555,
254.206345,
254.255844,
254.305252,
254.354782,
254.409149,
254.459946,
254.5135,
254.564453,
254.6137,
254.662888,
254.712875,
254.763519,
254.813858,
254.863281,
254.91333,
254.962692,
255.011581,
255.060669,
255.110825,
255.160019,
255.211044,
255.261871,
255.31517,
255.366837,
255.415482,
255.465363,
255.514755,
255.565323,
255.616074,
255.66626,
255.717056,
255.767151,
255.816544,
255.866318,
255.9155,
255.966782,
256.016327,
256.065918,
256.117249,
256.167236,
256.216766,
256.266785,
256.317566,
256.36795,
256.4182,
256.4677,
256.518036,
256.568665,
256.61795,
256.6672,
256.716125,
256.765564,
256.816528,
256.8673,
256.917419,
256.9663,
257.0183,
257.067352,
257.116272,
257.167,
257.216461,
257.266632,
257.3169,
257.366821,
257.416229,
257.4665,
257.5163,
257.567139,
257.617157,
257.6672,
257.717377,
257.7665,
257.8172,
257.866364,
257.917145,
257.965881,
258.0206,
258.07132,
258.121033,
258.170319,
258.2212,
258.2719,
258.320251,
258.37088,
258.4232,
258.473846,
258.52417,
258.575226,
258.626434,
258.676178,
258.729919,
258.781677,
258.83075,
258.881256,
258.9312,
258.9811,
259.030273,
259.082642,
259.131927,
259.1813,
259.2314,
259.280151,
259.333282,
259.383881,
259.43338,
259.4849,
259.533478,
259.582245,
259.631653,
259.681335,
259.7317,
259.783173,
259.83432,
259.883331,
259.934235,
259.983826,
260.034271,
260.083618,
260.1335,
260.183777,
260.2341,
260.2837,
260.334167,
260.3846,
260.4357,
260.48645,
260.537476,
260.5871,
260.6364,
260.687378,
260.736237,
260.786346,
260.835419,
260.884521,
260.93454,
260.9853,
261.035461,
261.088776,
261.13855,
261.1911,
261.24057,
261.291473,
261.341064,
261.391418,
261.442261,
261.493073,
261.543732,
261.5945,
261.644775,
261.694031,
261.74527,
261.7945,
261.843384,
261.8933,
261.944763,
261.995483,
262.047241,
262.099365,
262.1495,
262.199249,
262.250946,
262.3014,
262.351135,
262.401947,
262.451477,
262.501251,
262.551453,
262.6016,
262.652771,
262.7033,
262.7539,
262.803375,
262.853577,
262.9046,
262.953827,
263.004364,
263.054626,
263.106842,
263.157135,
263.20697,
263.257172,
263.309052,
263.359619,
263.409637,
263.4613,
263.511078,
263.56134,
263.612457,
263.6632,
263.713379,
263.763336,
263.814117,
263.8635,
263.913055,
263.963043,
264.012421,
264.064758,
264.119019,
264.1683,
264.2185,
264.269318,
264.32,
264.372284,
264.423065,
264.473175,
264.5235,47.12593
264.575043,
264.6263,
264.675781,
264.7255,
264.776031,
264.825653,
264.877441,
264.927979,
264.9785,
265.038147,
265.0949,
265.146942,
265.1952,
265.2433,
265.2944,
265.344543,
265.3937,
265.44342,
265.4926,
265.542084,
265.606232,
265.657379,
265.707336,
265.7592,
265.809082,
265.8596,
265.926117,
266.0131,
266.0915,86.75567
266.154846,70.2889938
266.206879,70.22468
266.257538,70.74506
266.309174,72.0326462
266.361542,73.0794144
266.412964,73.4229
266.4631,73.74962
266.5141,74.02886
266.565582,74.2843
266.61676,74.70556
266.667542,74.94586
266.720123,75.22895
266.772858,75.6224442
266.82428,76.2368851
266.877441,76.5422745
266.928558,76.8404846
266.979431,77.3412857
267.033844,77.74326
267.084473,78.17817
267.135223,78.76779
267.192017,79.36934
267.244141,79.73688
267.2955,80.31448
267.3467,80.59533
267.397034,80.97814
267.4475,81.59533
267.501862,82.20982
267.553558,82.61495
267.604523,82.99953
267.6568,83.57882
267.708527,83.8727
267.758881,84.2839661
267.8119,84.2788544
267.8667,84.2718048
267.9184,83.69661
267.9704,83.01061
268.021881,82.33349
268.0734,81.70369
268.1241,81.01389
268.175537,80.43043
268.227417,79.5323944
268.278717,78.61316
268.330139,77.69554
268.384583,77.1234
268.436066,76.34342
268.487244,75.62909
268.538361,74.95668
268.588623,74.74757
268.6404,74.31964
268.6922,73.86965
268.742859,73.49465
268.794556,73.28705
268.846527,72.95038
268.89856,72.92363
268.953583,72.9996
269.005524,73.14018
269.055756,73.05514
269.106476,73.2899551
269.159058,73.67169
269.213654,74.25539
269.26474,74.88662
269.31662,75.53575
269.3678,76.13175
269.419739,76.97522
269.4718,77.61439
269.5238,78.35314
269.5757,79.19619
269.62677,79.7869
269.678436,80.44196
269.7297,80.83136
269.781372,80.8356
269.832458,80.41212
269.8849,79.8046341
269.935333,79.29039
269.987885,78.86787
270.0391,78.4755
270.0906,77.99008
270.141022,77.43723
270.1966,77.0264
270.247955,76.4255447
270.300323,75.59688
270.351654,75.2045441
270.4031,74.65639
270.4548,74.3154144
270.508148,73.66178
270.560059,73.4279251
270.612152,73.21953
270.664,72.7891
270.715576,72.66019
270.7691,72.55742
270.823059,72.1929245
270.873657,72.12566
270.925751,71.67386
270.97702,71.68708
271.028473,71.76901
271.079437,71.73859
271.130524,71.597084
271.182343,71.54953
271.234344,71.49343
271.286255,71.37111
271.337128,71.30484
271.3911,71.28652
271.443634,70.88605
271.494537,70.86631
271.5479,70.85383
271.59967,70.82384
271.6514,70.84397
271.703217,70.79736
271.7576,70.85952
271.8086,71.01058
271.859467,71.1970749
271.91153,71.14625
271.963,71.33473
272.0138,71.6515961
272.068,72.00561
272.118927,72.39085
272.1737,72.8725052
272.224945,73.4951
272.283,74.13899
272.334534,75.11738
272.386475,76.03598
272.4376,76.6925354
272.488861,77.49614
272.5405,78.34842
272.593384,78.8879547
272.6445,79.36332
272.6966,79.4667358
272.747437,79.51323
272.798767,79.24803
272.850342,78.85781
272.90152,78.43051
272.952972,78.01083
273.0091,77.4841461
273.059631,77.0652542
273.11145,76.67438
273.163055,76.09777
273.2142,75.49335
273.266418,74.9929
273.318146,74.94605
273.3696,75.40023
273.423431,76.12887
273.4746,76.72546
273.52597,77.39937
273.576965,78.15221
273.6287,78.94889
273.679626,79.70708
273.7306,80.6857452
273.78186,81.5907
273.8336,82.38395
273.889618,82.8625
273.941681,83.06764
273.994476,82.85964
274.0442,82.11216
274.094482,81.39085
274.145325,80.9636
274.196838,80.8224
274.247955,80.55884
274.299469,80.40642
274.351563,80.24491
274.4031,79.99027
274.4557,79.5461655
274.506348,79.0070953
274.557251,78.6736755
274.609222,78.30368
274.660461,77.67863
274.712952,77.314
274.7633,76.65356
274.814484,76.33695
274.865051,75.64336
274.914856,75.39083
274.96582,75.30177
275.017181,75.06324
275.06897,74.98017
275.120667,75.07048
275.17215,75.39447
275.222473,75.797226
275.2734,76.29169
275.324921,76.91382
275.377319,77.56908
275.429047,78.12777
275.4808,78.6925354
275.5335,79.22816
275.584717,79.8305
275.63623,80.10157
275.686951,80.03812
275.737732,79.9958649
275.788971,80.27203
275.8401,79.8973
275.8917,79.4506149
275.9429,79.00212
275.994354,78.52665
276.0454,77.99148
276.098053,77.5834961
276.1496,76.8914261
276.217377,75.83616
276.2685,75.33175
276.319519,75.26352
276.3711,75.04174
276.422852,75.1053543
276.4745,75.19757
276.525421,75.1627655
276.577148,75.45411
276.629,75.549736
276.680054,75.7141
276.731781,76.01408
276.7825,76.26507
276.8328,76.40725
276.884644,76.59425
276.93576,76.6312561
276.9871,76.48111
277.050079,76.25883
277.10144,76.0822449
277.152985,75.92274
277.204773,75.69935
277.2581,75.38769
277.30954,75.2364044
277.361572,75.1638641
277.415436,74.8716
277.4665,74.68137
277.5187,74.51449
277.570251,74.34038
277.621033,74.10599
277.6718,73.98095
277.723,73.8405
277.7745,73.6540451
277.8258,73.29369
277.8779,73.18576
277.9289,73.10335
277.9787,72.758316
278.0298,72.59275
278.081451,72.54169
278.132538,72.59196
278.1841,72.5084457
278.236176,72.3791
278.286774,72.38628
278.3371,72.42644
278.388245,72.30856
278.439148,72.03205
278.490448,72.02187
278.541779,72.02592
278.594421,72.0208054
278.644836,72.09434
278.697784,72.20448
278.749756,72.34045
278.8013,72.45385
278.851959,72.6051
278.90387,72.89007
278.9554,73.20561
279.010132,73.41892
279.0619,73.7391
279.111847,74.1494
279.1645,74.48249
279.215546,74.90411
279.267731,75.5707855
279.32135,76.2289047
279.371857,76.6071243
279.422516,77.248024
279.473938,77.58932
279.525177,78.1670151
279.575867,78.43251
279.626953,78.51208
279.6773,78.631134
279.728638,78.42604
279.7814,77.99974
279.8327,77.53546
279.885345,77.06319
279.9367,76.6246262
279.9879,76.32289
280.038483,76.1056442
280.089874,75.8331451
280.143768,75.47566
280.1973,74.7842255
280.2476,74.43736
280.299042,74.4482
280.349854,74.32699
280.4007,74.459404
280.451569,74.4297
280.504,74.84937
280.555664,75.23515
280.606934,75.85228
280.658752,76.71512
280.709747,77.47543
280.762115,78.34592
280.8139,79.25575
280.864746,79.74527
280.915619,80.45801
280.96637,81.14466
281.017548,81.53722
281.070251,81.31046
281.121857,81.00843
281.175781,80.37684
281.2272,79.94448
281.278748,79.58846
281.330261,79.04732
281.383179,78.5199
281.433075,77.89202
281.486084,76.89145
281.537048,76.42566
281.588,76.42113
281.638,76.64493
281.688751,77.19129
281.739746,77.84537
281.791138,78.5344238
281.841675,79.21922
281.892,79.87269
281.946167,80.4799347
281.996948,81.0741
282.046967,81.36601
282.097534,81.03329
282.149139,80.55461
282.203156,80.45124
282.254974,80.17553
282.30542,79.60718
282.3564,78.9401
282.408722,78.3296661
282.4592,77.7869644
282.510864,77.048645
282.56485,76.61397
282.616,75.9976349
282.666748,75.41265
282.718079,75.06058
282.7697,74.61364
282.821,74.554924
282.8722,74.44906
282.92337,73.92801
282.974884,73.7932739
283.0258,73.39577
283.077179,73.26795
283.128174,73.1390152
283.178467,73.06926
283.229919,72.9827652
283.282471,72.60532
283.333,72.569046
283.383575,72.5299149
283.434265,72.54892
283.484924,72.50195
283.534882,72.4582443
283.585938,72.51236
283.6367,72.63247
283.6882,72.50105
283.739471,72.4734344
283.789978,72.57303
283.840668,72.60103
283.8925,72.60441
283.9445,72.65018
283.99588,72.64223
284.04895,72.57934
284.101837,72.5760651
284.1536,72.53849
284.206482,72.54236
284.257965,72.45958
284.308716,72.39812
284.3616,72.43252
284.412476,72.58022
284.463562,72.45451
284.514862,72.3788757
284.565338,72.414444
284.615967,72.3651352
284.66745,72.240654
284.719452,72.24749
284.77,72.23636
284.8231,72.227066
284.8751,72.3202744
284.9259,72.4119
284.977844,72.51807
285.0298,72.54003
285.081482,72.54388
285.134338,72.6526642
285.185852,72.80513
285.238037,72.777916
285.28775,72.75237
285.339081,72.8985062
285.390869,72.93867
285.4444,72.9587
285.495575,73.05577
285.548767,73.1593
285.599884,73.3061752
285.651276,73.63922
285.70224,73.96738
285.7539,74.35494
285.8059,74.74161
285.857056,75.21801
285.9074,75.83369
285.9591,76.9103
286.009338,77.52808
286.060883,78.45961
286.112061,79.37401
286.163818,79.93063
286.2146,80.39566
286.266479,80.6517639
286.3175,80.544014
286.3677,80.05933
286.418152,79.53116
286.468964,78.95506
286.520935,79.04492
286.5719,79.56834
286.6232,79.91455
286.674164,79.97448
286.725159,79.76657
286.776,79.75585
286.8284,80.24651
286.879578,80.8245544
